Location,point,
"Victoria, Victoria, Australia",-21.23091160,148.9741517
"Granite Belt, Queensland, Australia",-28.53594210,151.948828
"Arizona, Arizona, US",30.78068870,-95.4593925
"Cochise County, Arizona, US",31.85145320,-109.8181858
"Western Australia, Western Australia, Australia",-31.95040445,115.7979004
"Western Plains, New South Wales, Australia",-32.47452940,148.8368619
"Hunter Valley, New South Wales, Australia",-32.54218030,151.2185641
"Mudgee, New South Wales, Australia",-32.59807020,149.5886383
"South Coast, California, US",32.74698910,-117.2516124
"Texas, Texas, US",32.75630570,-97.0713679
"San Diego County, California, US",32.96378380,-116.7706277
"Ramona Valley, California, US",33.03537800,-116.8675132
"Cole Ranch, California, US",33.04420020,-117.2338932
"Orange, New South Wales, Australia",-33.28204630,149.0971567
"Monterey-Santa Cruz, California, US",33.48473530,-117.0885646
"Temecula Valley, California, US",33.49463530,-117.1473661
"Temecula, California, US",33.49463530,-117.1473661
"Rockpile, California, US",33.64536890,-116.5557797
"Shenandoah Valley CA), California, US",33.71645120,-117.764666
"Ballard Canyon, California, US",33.72936370,-117.7793546
"Malibu-Newton Canyon, California, US",33.73111960,-117.7645119
"Clare Valley, South Australia, Australia",-33.83339140,138.6120042
"Chablis, Burgundy, France",-33.83813060,18.5470143
"Santenay, Burgundy, France",-33.84138900,18.5476698
"Santa Lucia Highlands, California, US",33.84621090,-117.7412629
"New South Wales, New South Wales, Australia",-33.87375390,151.2095867
"River Junction, California, US",33.88451835,-117.2562193
"Margaret River, Western Australia, Australia",-33.95317760,115.0769369
"Riverland, South Australia, Australia",-34.02386250,140.7746846
"Malibu Coast, California, US",34.03711165,-118.6779613
"Cucamonga Valley, California, US",34.10331920,-117.5751735
"Sta. Rita Hills, California, US",34.11968130,-118.3760193
"San Pasqual, California, US",34.13915440,-118.1024418
"Arroyo Seco, California, US",34.14584240,-118.1646226
"Central Coast, California, US",34.18459160,-118.3088466
"North Carolina, North Carolina, US",34.31294640,-78.1611077
"Frankland River, Western Australia, Australia",-34.36073220,117.0801807
