Location,point
"Victoria, Victoria, Australia","(-21.2309116, 148.9741517, 0.0)"
"Granite Belt, Queensland, Australia","(-28.5359421, 151.948828, 0.0)"
"Arizona, Arizona, US","(30.7806887, -95.4593925, 0.0)"
"Cochise County, Arizona, US","(31.8514532, -109.8181858, 0.0)"
"Western Australia, Western Australia, Australia","(-31.95040445, 115.79790037425106, 0.0)"
"Western Plains, New South Wales, Australia","(-32.4745294, 148.83686186564694, 0.0)"
"Hunter Valley, New South Wales, Australia","(-32.5421803, 151.2185641, 0.0)"
"Mudgee, New South Wales, Australia","(-32.5980702, 149.5886383, 0.0)"
"South Coast, California, US","(32.7469891, -117.2516124, 0.0)"
"Texas, Texas, US","(32.7563057, -97.0713679, 0.0)"
"San Diego County, California, US","(32.9637838, -116.7706277, 0.0)"
"Ramona Valley, California, US","(33.035378, -116.86751322074122, 0.0)"
"Cole Ranch, California, US","(33.0442002, -117.2338932, 0.0)"
"Orange, New South Wales, Australia","(-33.2820463, 149.0971567, 0.0)"
"Monterey-Santa Cruz, California, US","(33.4847353, -117.08856464190733, 0.0)"
"Temecula Valley, California, US","(33.4946353, -117.1473661, 0.0)"
"Temecula, California, US","(33.4946353, -117.1473661, 0.0)"
"Rockpile, California, US","(33.6453689, -116.5557797, 0.0)"
"Shenandoah Valley (CA), California, US","(33.7164512, -117.764666, 0.0)"
"Ballard Canyon, California, US","(33.7293637, -117.7793546, 0.0)"
"Malibu-Newton Canyon, California, US","(33.7311196, -117.7645119, 0.0)"
"Clare Valley, South Australia, Australia","(-33.8333914, 138.6120042, 0.0)"
"Chablis, Burgundy, France","(-33.8381306, 18.5470143, 0.0)"
"Santenay, Burgundy, France","(-33.841389, 18.5476698, 0.0)"
"Santa Lucia Highlands, California, US","(33.8462109, -117.7412629, 0.0)"
"New South Wales, New South Wales, Australia","(-33.8737539, 151.2095867, 0.0)"
"River Junction, California, US","(33.88451835, -117.25621930598837, 0.0)"
"Margaret River, Western Australia, Australia","(-33.9531776, 115.0769369, 0.0)"
"Riverland, South Australia, Australia","(-34.0238625, 140.77468455914368, 0.0)"
"Malibu Coast, California, US","(34.03711165, -118.67796130796515, 0.0)"
"Cucamonga Valley, California, US","(34.1033192, -117.5751735, 0.0)"
"Sta. Rita Hills, California, US","(34.1196813, -118.3760193, 0.0)"
"San Pasqual, California, US","(34.1391544, -118.1024418, 0.0)"
"Arroyo Seco, California, US","(34.1458424, -118.16462255635426, 0.0)"
"Central Coast, California, US","(34.1845916, -118.3088466, 0.0)"
"North Carolina, North Carolina, US","(34.3129464, -78.1611077, 0.0)"
"Frankland River, Western Australia, Australia","(-34.3607322, 117.0801807, 0.0)"
"Hilltops, New South Wales, Australia","(-34.41561915, 148.56342571324248, 0.0)"
"Monterey-Santa Barbara, California, US","(34.421814, -119.7269, 0.0)"
"Santa Barbara, California, US","(34.4221319, -119.7026673, 0.0)"
"Carneros, California, US","(34.4346233, -119.8594792262155, 0.0)"
"Los Carneros, California, US","(34.4346233, -119.8594792262155, 0.0)"
"Pemberton, Western Australia, Australia","(-34.4441275, 116.0346584, 0.0)"
"Ventura County, California, US","(34.4458248, -119.0779359, 0.0)"
"Perdriel, Mendoza Province, Argentina","(-34.4905052, -58.6758339, 0.0)"
"Luján de Cuyo, Mendoza Province, Argentina","(-34.5009474, -58.7449228, 0.0)"
"Adelaide Plains, South Australia, Australia","(-34.512009500000005, 138.44268852404895, 0.0)"
"Agrelo, Mendoza Province, Argentina","(-34.5275497, -58.8024364, 0.0)"
"Darlington Point, New South Wales, Australia","(-34.5659957, 146.0002828, 0.0)"
"Santa Ynez Valley, California, US","(34.608637, -120.10467742149733, 0.0)"
